t Thor
0.0 5.569542992294085e-06
0.003906296521252396 5.83282155390247e-06
0.007812593042504793 6.111932826853077e-06
0.01171888956375719 6.402678985667119e-06
0.015625186085009585 6.700261375400292e-06
0.01953148260626198 6.999572310775262e-06
0.02343777912751438 7.295496962981539e-06
0.027344075648766775 7.583202716607273e-06
0.03125037217001917 7.858396276798634e-06
0.03515666869127157 8.11753329318047e-06
0.03906296521252396 8.3579706728181e-06
0.04296926173377636 8.578057355189537e-06
0.04687555825502876 8.777164442787447e-06
0.05078185477628115 8.955659688339476e-06
0.05468815129753355 9.114834109132649e-06
0.05859444781878594 9.256789846717267e-06
0.06250074434003834 9.384298466468254e-06
0.06640704086129073 9.500638036551922e-06
0.07031333738254314 9.609415997704246e-06
0.07421963390379553 9.714383519460161e-06
0.07812593042504792 9.819246156323837e-06
0.08203222694630033 9.927475446706761e-06
0.08593852346755272 1.0042126719812684e-05
0.08984481998880511 1.0165669658238246e-05
0.09375111651005752 1.0299839780270133e-05
0.09765741303130991 1.0445520491312743e-05
0.1015637095525623 1.060266618950766e-05
0.1054700060738147 1.0770276619558282e-05
0.1093763025950671 1.0946430911370212e-05
0.1132825991163195 1.1128386390996e-05
0.11718889563757189 1.1312742445272868e-05
0.12109519215882429 1.1495663858816124e-05
0.12500148868007668 1.1673151750972783e-05
0.1289077852013291 1.1841344300193674e-05
0.13281408172258147 1.1996824678080599e-05
0.13672037824383387 1.2136910773685567e-05
0.14062667476508628 1.2259900927103733e-05
0.14453297128633866 1.2365252279908953e-05
0.14843926780759106 1.2453673413895686e-05
0.15234556432884347 1.2527120259293606e-05
0.15625186085009585 1.2588693064774522e-05
0.16015815737134825 1.2642441562286957e-05
0.16406445389260066 1.2693094253529913e-05
0.16797075041385304 1.274573495258669e-05
0.17187704693510544 1.2805454480259897e-05
0.17578334345635785 1.2877007157573046e-05
0.17968963997761023 1.2964500305226552e-05
0.18359593649886263 1.3071140546816009e-05
0.18750223302011504 1.3199053940642331e-05
0.19140852954136742 1.3349188730475662e-05
0.19531482606261982 1.3521300885775852e-05
0.1992211225838722 1.3714014696074194e-05
0.2031274191051246 1.3924944461139898e-05
0.207033715626377 1.4150859480140287e-05
0.2109400121476294 1.4387873427159623e-05
0.2148463086688818 1.4631640736779297e-05
0.2187526051901342 1.487754634927892e-05
0.22265890171138658 1.5120880300083195e-05
0.226565198232639 1.535699420698566e-05
0.2304714947538914 1.5581441694051406e-05
0.23437779127514377 1.579010829422219e-05
0.23828408779639618 1.5979337757778645e-05
0.24219038431764858 1.6146060693871174e-05
0.24609668083890096 1.6287928239237734e-05
0.25000297736015337 1.640344853894863e-05
0.2539092738814058 1.6492118122936017e-05
0.2578155704026582 1.6554534849782005e-05
0.26172186692391053 1.659247507615094e-05
0.26562816344516293 1.6608916059133206e-05
0.26953445996641534 1.6607985962665935e-05
0.27344075648766775 1.6594828439610048e-05
0.27734705300892015 1.6575376326049925e-05
0.28125334953017256 1.655603875791562e-05
