t Pleth
0.0 0.0004102388036926833
0.003906296521252396 0.0004079499504081788
0.007812593042504793 0.00040581368734264134
0.01171888956375719 0.00040383001449607084
0.015625186085009585 0.0004016937514305333
0.01953148260626198 0.00039940489814602886
0.02343777912751438 0.0003968108644235904
0.027344075648766775 0.0003937590600442512
0.03125037217001917 0.000390249485008011
0.03515666869127157 0.0003862821393148699
0.03906296521252396 0.00038170443274586097
0.04296926173377636 0.0003766689555199512
0.04687555825502876 0.00037117570763714046
0.05078185477628115 0.0003653772793163958
0.05468815129753355 0.0003591210803387503
0.05859444781878594 0.00035255970092317086
0.06250074434003834 0.0003458457312886244
0.06640704086129073 0.00033913176165407797
0.07031333738254314 0.0003322652018005646
0.07421963390379553 0.0003253986419470512
0.07812593042504792 0.0003186846723125047
0.08203222694630033 0.00031212329289692533
0.08593852346755272 0.00030571450370031286
0.08984481998880511 0.0002994583047226673
0.09375111651005752 0.0002933546959639887
0.09765741303130991 0.0002874036774242771
0.1015637095525623 0.0002817578393224994
0.1054700060738147 0.0002764171816586557
0.1093763025950671 0.00027138170443274587
0.1132825991163195 0.00026665140764476996
0.11718889563757189 0.00026222629129472804
0.12109519215882429 0.00025795376516365303
0.12500148868007668 0.00025383382925154495
0.1289077852013291 0.0002498664835584039
0.13281408172258147 0.0002458991378652628
0.13672037824383387 0.00024208438239108873
0.14062667476508628 0.00023857480735484858
0.14453297128633866 0.00023521782253757534
0.14843926780759106 0.00023216601815823608
0.15234556432884347 0.00022926680399786372
0.15625186085009585 0.00022667277027542534
0.16015815737134825 0.0002243839169909209
0.16406445389260066 0.00022224765392538337
0.16797075041385304 0.0002201113908598459
0.17187704693510544 0.0002179751277943084
0.17578334345635785 0.00021553368429083698
0.17968963997761023 0.0002127870603494316
0.18359593649886263 0.00020958266575112536
0.18750223302011504 0.00020576791027695124
0.19140852954136742 0.0002013427939269093
0.19531482606261982 0.00019645990691996644
0.1992211225838722 0.00019111924925612267
0.2031274191051246 0.00018547341115434502
0.207033715626377 0.00017967498283360037
0.2109400121476294 0.00017387655451285572
